reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
f22078c1-daf9-4c9b-a04a-291d381c5c19,latte October (hl4juk),https://play-lh.googleusercontent.com/a-/ALV-UjXqdiB3l6W76gRkreXL2208bLeGzKnOnqYitfHX0a492SvLkNmc2g,갈수록 불편하게 되어가는 카가오톡.지금은 짜증이,1,0,26.3.0,2026-04-13 08:32:52,,,26.3.0
5b7824d0-715a-4624-bcfe-88444c2f5ba2,강광석,https://play-lh.googleusercontent.com/a-/ALV-UjVG6v1zItj4YTujjViHt5SsRoPNEC7Xi47Dg0irwlM42IZt2ww,좋음,5,0,26.3.0,2026-04-13 08:29:03,,,26.3.0
4ec70ee7-4620-4098-8c33-d738ca730f5d,JE M,https://play-lh.googleusercontent.com/a-/ALV-UjUyRMI1EnzNDiMugR7qMf8U5DM8Pf54xp0jfZXSZzRKasf9AjzMOQ,업데이트한 프로필 사진 보면 여러개가 빠른 속도로 지나가더니 이제 티파니 광고만 뜸. 그리고 도대체 메신저에 숏폼이 왜 뜨는거임;;;,3,0,26.3.0,2026-04-13 08:26:37,,,26.3.0
62f9fe13-2c4c-4f8f-9787-40bc004e50d6,임현식,https://play-lh.googleusercontent.com/a/ACg8ocIDnmMVICziyiOLdYvNx1sJvTkQz5WcaPBLNEH68gRmrUW0cQ=mo,뭐 광고는 이해하겠는데 이건 그냥 sns 따라가려고 하는거 아님? 저기 카카오톡 여러분 얘는 메신저이지 인스타 같은 sns가 아니다. 노선 잘못 잡은것 같은데 이미 윗선은 이런 업데이트가 만족스럽다고 생각하겠지? 정신좀 차리길,1,0,26.1.0,2026-04-13 08:23:33,,,26.1.0
e2d0d47c-fb09-4468-9c89-9043ab2f1de5,파운드(ᄆ),https://play-lh.googleusercontent.com/a-/ALV-UjVRZlHMg2dnHwGmWEfZ_Y9s6pi3OszZIUqDCj99aryaNDTh51Qy,진짜 답이없네 니가 애플 관성이냐? 븅,1,0,26.3.0,2026-04-13 08:10:20,,,26.3.0
3126f403-cfd0-44af-af08-ef41a8222eb5,kwonjun,https://play-lh.googleusercontent.com/a-/ALV-UjW4f-Efmn1rDa-v9HWV3ionO9lizsrg5yGPLKh_IxA8JN3gKtpO,소식탭 잠수함패치 당했음,1,0,26.3.0,2026-04-13 08:02:36,,,26.3.0
62761962-b138-40a7-9391-e3c42f7b9b85,밭빙수,https://play-lh.googleusercontent.com/a-/ALV-UjUGfRG_PmZZUrOn7c1rHupoCRjTmhcUYLHMReAVCkhhiD61cT1I,도대체 왜 사용자와 기싸움하는지 모르겠음 아무리 대체재가 없다해도,1,0,26.3.0,2026-04-13 08:01:34,,,26.3.0
8e4e73f7-9972-4d6b-81c6-5a0b06b612f8,칼라디,https://play-lh.googleusercontent.com/a-/ALV-UjUdw1VYYfi00nFmvK7jX-Genuo7TEASygPoP-aZ5tfclaKvkTKZ,아오 소식으로 야금야금 바꾸는거 짜증나네 진짜,1,1,26.3.0,2026-04-13 07:58:14,,,26.3.0
ba4e04fb-a2a5-4ef8-809c-469d7f53a865,비긴이계인,https://play-lh.googleusercontent.com/a/ACg8ocKt9K4PspgaMokEbZxQry9_Ge02WZuiJI9N3lfhlBwu7wJfcg=mo,"소식, 영상탭 좀 없애라",1,0,26.3.0,2026-04-13 07:51:02,,,26.3.0
5c0744ae-083a-41dc-87dd-25709d667306,sorang jung,https://play-lh.googleusercontent.com/a/ACg8ocKSML6g0HhZqHavnMDLO8IeuzqzbInzH_9Dr1_OoSbsEntJOw=mo,불편하게 바뀌고 있어서 좀 짜증남,1,0,26.3.0,2026-04-13 07:50:40,,,26.3.0
07915b53-dc0a-4fce-80ca-e969836ce093,송우진,https://play-lh.googleusercontent.com/a/ACg8ocKCKXY2QT2TOAE31tvTmH-8O0xD3flr9hom53i4BVM1DlYZgQ=mo,오픈채팅방 밑에 들어가지도 않은 오픈채팅방 표시는 도대체 왜 해줌? 심지어 나랑 전혀 연관도 없는 82년생 오픈 채팅 이딴거 있는데 이거 왜 만든지 모르겠음. 안보이게 할려고 관심 없음 눌러도 다음번엔 83년생 오픈 채팅 이딴거 쳐 나오고 차라리 광고를 덕지 덕지 붙여 놓는게 더 나을듯. 차라리 이런거 숏폼이랑 엮어서 다른 버튼으로 빼놓던지 오픈채팅 들어갈 때마다 불편한게 너무 많음,1,2,26.3.0,2026-04-13 07:39:53,,,26.3.0
b58bc5ef-2f13-43f1-8247-8cc8e3a27cc7,조성범,https://play-lh.googleusercontent.com/a-/ALV-UjWkufIjMA59YCkYLobTWx4jmNtfIvdBPG7H1o7U47RibiNIEFk,장난치냐? 설정한적도 없는데 카톡 켜면 계속 궁금하지도 않은 소식탭으로 자꾸 넘어가게 만들고있어. 소식탭 안지워?,1,0,26.3.0,2026-04-13 07:37:01,,,26.3.0
e0bbaec6-359b-4fa6-9bc4-ed115a8826e6,iorix84,https://play-lh.googleusercontent.com/a-/ALV-UjWGBVgB5eL5otGOAAM6-_nX4bwi1ZHgWDvGko1WK3uppGfYeiJ7,은근슬쩍 소식 탭부터 보이게 하네 ㅋㅋ 기싸움 오진다,1,0,26.3.0,2026-04-13 07:33:56,,,26.3.0
6b407ace-a956-4c14-9534-6505a4b7224b,nine oh,https://play-lh.googleusercontent.com/a/ACg8ocInmiJtBhdUeExYdNUQmki26Ei5MIpIufsbciu8Gy9ZM_xt=mo,최악... 다시 예전 형식 유지한대서 업뎃한 건데 숏폼 소식탭 자동으로 튀어나오는 거 뭔데요? 메신저에서 이딴거 왜 봐야 합니까? 설정에서 먼저 안 보이게 하는 선택지라도 주든가. 진짜 불쾌한 어플..,1,0,26.3.0,2026-04-13 07:25:08,,,26.3.0
ae8ef056-017e-4bf9-a3b9-9431fcf5f4e0,이아영,https://play-lh.googleusercontent.com/a/ACg8ocIBQiu7ZlikTO4dmhNljq29D5znAw6VC63-Fs59EuTbmOiyDQ=mo,쓰라는건지 말라는건지 진짜 회사만아니면 지우고싶네요.,1,1,10.6.1,2026-04-13 07:14:35,,,10.6.1
